0,0,0,0,1.5126,-1.177,-0.33558,0,0,0,0,0,0
2.161e-25,2.9889e-11,5.5253e-26,2.7114e-25,1.5126,-1.177,-0.33558,-6.4537e-25,6.2924e-10,6.2924e-10,6.2924e-10,6.2924e-10,0
-1.1787e-25,2.3897e-10,-6.8145e-25,-2.9785e-24,1.5126,-1.177,-0.33558,4.4613e-24,5.0309e-09,5.0309e-09,5.0309e-09,5.0309e-09,0
3.104e-24,8.0603e-10,1.2045e-24,9.3534e-24,1.5126,-1.177,-0.33558,-6.3571e-24,1.6969e-08,1.6969e-08,1.6969e-08,1.6969e-08,0
8.7619e-24,1.9094e-09,2.3047e-24,1.2328e-23,1.5126,-1.177,-0.33558,-2.3482e-23,4.0199e-08,4.0199e-08,4.0199e-08,4.0199e-08,0
8.7619e-24,3.7271e-09,1.3617e-24,9.2201e-24,1.5126,-1.177,-0.33558,-1.6691e-23,7.8466e-08,7.8466e-08,7.8466e-08,7.8466e-08,0
1.5363e-23,6.4366e-09,-1.3138e-25,4.5274e-24,1.5126,-1.177,-0.33558,-5.3398e-24,1.3551e-07,1.3551e-07,1.3551e-07,1.3551e-07,0
2.4793e-23,1.0215e-08,-2.1745e-24,-6.656e-24,1.5126,-1.177,-0.33558,8.9188e-24,2.1505e-07,2.1505e-07,2.1505e-07,2.1505e-07,0
4.7424e-23,1.5239e-08,-9.8756e-24,-4.6442e-23,1.5126,-1.177,-0.33558,1.0166e-22,3.2082e-07,3.2082e-07,3.2082e-07,3.2082e-07,0
3.988e-23,-4.2921e-09,6.3049e-23,5.7333e-22,1.5126,-1.177,-0.33558,-3.9232e-22,-9.0359e-08,-9.0359e-08,-9.0359e-08,-9.0359e-08,0
3.1551e-23,-5.8841e-09,4.8825e-23,5.5696e-22,1.5126,-1.177,-0.33558,-3.5841e-22,-1.2388e-07,-1.2388e-07,-1.2388e-07,-1.2388e-07,0
-3.5362e-25,-7.827e-09,2.0536e-23,6.0451e-22,1.5126,-1.177,-0.33558,-4.5867e-22,-1.6478e-07,-1.6478e-07,-1.6478e-07,-1.6478e-07,0
4.2081e-23,-1.0156e-08,4.914e-23,5.7171e-22,1.5125,-1.177,-0.33558,-4.8659e-22,-2.138e-07,-2.138e-07,-2.138e-07,-2.138e-07,0
5.3043e-24,-1.2904e-08,3.3659e-23,9.7261e-22,1.5125,-1.177,-0.33558,-9.0065e-22,-2.7167e-07,-2.7167e-07,-2.7167e-07,-2.7167e-07,0
-9.8228e-25,-1.6107e-08,4.5289e-23,7.9183e-22,1.5125,-1.177,-0.33558,-6.4896e-22,-3.391e-07,-3.391e-07,-3.391e-07,-3.391e-07,0
-5.7876e-23,-1.9799e-08,4.1121e-24,3.5061e-22,1.5125,-1.177,-0.33557,-6.2407e-23,-4.1683e-07,-4.1683e-07,-4.1683e-07,-4.1683e-07,0
-2.7072e-23,-2.4015e-08,6.2106e-23,1.8078e-22,1.5125,-1.177,-0.33557,1.8016e-22,-5.0557e-07,-5.0557e-07,-5.0557e-07,-5.0557e-07,0
